taxon_name,trait_name,trait_value,units,value_type,context,source_id,full_reference,
Typhonium jonesii,pollination_syndrome,insect,,,,SPRAT profile,,
Typhonium jonesii,storage_organ,tuber,,,,SPRAT profile,,
Acacia equisetifolia,resprouting_capacity,fire_killed,,,,NTGov 2021,,
Acacia praetermissa,resprouting_capacity,resprouts,,,,,,
Actinotus schwarzii,plant_reproduction_type,sexual_reproduction_only,,,,Nano_2008,,
Actinotus schwarzii,fire_response,fire_killed,,,,Nano_2008,,
Actinotus schwarzii,post_fire_recruitment,weak/no,,,,Nano_2008,,
Actinotus schwarzii,recruitment_cues,,,,,Nano_2008,,
Actinotus schwarzii,leaf_length,4.5,cm,mean,,Nano_2008,,
Actinotus schwarzii,leaf_width,4,cm,mean,,Nano_2008,,
Actinotus schwarzii,leaf_hairiness,dense_tomentum,,,,Nano_2008,,
Actinotus schwarzii,fruit_length,3.5,mm,mean,,Nano_2008,,
Actinotus schwarzii,fruit_width,1,mm,mean,,Nano_2008,,
Actinotus schwarzii,flowering_time,"July, Oct, Nov, Dec, Jan",,,,Nano_2008,,
Actinotus schwarzii,fruiting_time,Dec,,,,Nano_2008,,
Actinotus schwarzii,leaf_xx,deep narrow segments,,,,Nano_2008,,
Actinotus schwarzii,leaf_surface_colour_upper,dark_grey_green,,,,Nano_2008,,
Actinotus schwarzii,leaf_surface_colour_lower,pale_grey_green,,,,Nano_2008,,
Acacia equisetifolia,leaf_length,10,mm,minimum,,NTGov 2021,,
Acacia equisetifolia,leaf_length,15,mm,maximum,,NTGov 2021,,
Acacia equisetifolia,leaf_shape,needle-like,,,,NTGov 2021,,
Acacia equisetifolia,leaf_hairiness,hairy,,,,NTGov 2021,,
Acacia equisetifolia,leaf_arrangement,whorl,,,,NTGov 2021,,
Minuria tridens,plant_reproduction_type,sexual reproduction only,,,,Nano_2008,,
Minuria tridens,dispersal mechanisms,persistent pappus,,,,Nano_2008,,
Minuria tridens,fire_response,resprouts,,,,Nano_2008,,
Olearia macdonnellensis,plant_reproduction_type,sexual reproduction only,,,,Nano_2008,,
Olearia macdonnellensis,dispersal mechanisms,persistent pappus,,,,Nano_2008,,
Olearia macdonnellensis,fire_response,fire-killed,,,,Nano_2008,,
Olearia macdonnellensis,post_fire_recruitment,weak/no,,,,Nano_2008,,
Eleocharis papillosa,plant_height,10,cm,maximum,,SPRAT profile,,
Eleocharis papillosa,flowering_time,all_year,,,,SPRAT profile,,
Eleocharis papillosa,fruiting_time,all_year,,,,SPRAT profile,,
Eleocharis papillosa,germination_cues,temporary inundation,,,,SPRAT profile,,
Eleocharis papillosa,establishment_cues,temporary inundation,,,,SPRAT profile,,
Eleocharis papillosa,plant_reproduction_type,sexual_reproduction asexual_reproduction,,,,SPRAT profile,,
Eleocharis papillosa,storage_organ,tuber,,,,SPRAT profile,,
Eleocharis retroflexa,plant_height,10,cm,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,aquatic,stems_submerged,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,stem_shape,four_angled,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,leaf_type,sheath_only,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,inflorescence_length,2,mm,minimum,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,inflorescence_length,3.5,mm,maximum,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,inflorescence_width,1,mm,minimum,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,inflorescence_width,2,mm,maximum,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,fruit_type,nut,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,fruit_colour,white,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,fruit_length,0.7,mm,maximum,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,fruit_surface_texture,pitted,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,flowering_time,April-May,,,,NT_Threatened_species_profile_2021,,
Eleocharis retroflexa,fruiting_time,April-May,,,,NT_Threatened_species_profile_2021,,
Burmannia D61177  Bathurst Island,leaf_type,leafless,,,,Liddle_2008,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Burmannia D61177  Bathurst Island,flowering_time,"Jun, Nov",,,,Liddle_2008,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Burmannia D61177  Bathurst Island,fruiting_time,June,,,,Liddle_2008,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Calochilus caeruleus,foliage_time,"Jan, Feb",,,,Liddle_2008,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Calochilus caeruleus,flowering_time,"Dec, Jan",,,,Liddle_2008,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
