species,emergence -control (%),emergence -control (SE),a,c,d,f,g,h,i
Acacia acuminata,72,3.86,,12.82,97.8,67.6± 18.28,,,
Acacia dentifera,46.6,7.1,21.2±3.93,3.93,100±0,65.3,,18.31,
Acacia neurophylla,44,5.73,9.4±3.36,3.36,100 ±0,80.0±20.00,,,
Acacia pycantha,57.4,8.81,25.4±4.79,4.79,98.0±2.00,95.00±5.00,,,
Acacia saligna,46.8,4.27,26.6±4.74,4.74,100±0,100±0,,,
Astartea Scoparia,76.8,9.33,15.0± 1.48,1.48,40.8±13.88,47.6±9.94,,,
Banksia caleyi **,74,4,24.0±12.08,12.08,100±0,60.0 ± 18.71,,,
Banksia elderiana,74,6.78,18.0±5.83,5.83,96.7 ± 3.33,19.43,,,
Banksia lemanniana *,84,6.78,16.0±11.66,11.66,100±0,30.0 ± 20.00,,,
Banksia repens,50,5.48,16.0±2.45,2.45,92.14±5.10,60.0±18.71,,,
Banksia sessilis,36,7.8,7.8±3.18,3.18,79.8 ± 6.27,20.0 ± 20.00,,,
Callistemon phoeniceus,93.4,2.28,39.6±4.41,4.41,83.2±5.40,80.9±3.53,,,
Calothamnus gilesii *,12.6,1.43,11.22.254,,38.7,16.6± 7.89,,,
Calothamnus hirsutu,78.6,5.74,61.6±7.81,7.81,83.8 ±4.33,67.3±8.15,,,
Calothamnus quadrifidws,6.4,0.68,3,0.89,"67.3 ±8,15",41.5± 13.8,,,
Calothamnus sanguineus,16.6,4.13,7.0± 1.87,1.87,969,75.5,,5.35,
Eremaea pauciflora,15,3.65,4.6±225,0.225,86.3±4.45,42.9± 17.96,,,
Eucalyptus macrocarpa,49.4,7.15,49.4±4.51,4.51,93.6,61.4,,,8.91
Grevillea eriostachya,22.4,4.51,0,0,67.3± 10.67,,0,,
Grevillea pterosperma,8,2.4,0,0,80.0 ± 20.00,,,,
Hakea laurina,75.4,9.68,72.8±4.65,4.65,100 ±0,100±0,,,
Hakea petiolaris•,48,9.67,26,10.77,100 ±0,76.6±19.44,,,
Hakea ruscifolia,70,8.94,24.0±678,6.78,100±0,73.3 ± 19.44,,,
Hakea trifurcata,66,16,50.0 ± 632,6.32,100±0,77.3± 11.27,,,
Kunzea pulchella,44.8,8.67,23.2±5.62,5.62,81.4±3.64,31.8± 9.96,,,
Kunzea,47.6,8.08,53.4±5.64,5.64,100±0,83.1,,3.72,
Labichea lanceolata,77.4,3.41,22.6,10.28,98.3,17.2± 9.39,,,
Leptospermum erubescens,60,7.33,9.8 ± 2.10,2.1,38.8 ± 7.52,2.43 ± 1.49,,,
Melaleuca adnata,11.2,3.3,5.2 ± 1.39,1.39,36.18 ± 13.65,30.3 ± 17.79,,,
Melaleuca preissiana,57.2,6.79,59.0 ± 10.12,10.12,42.8 ± 12.33,35.3 ± 9.60,,,
Melaleuca seriata *,60.2,0.97,48.6 ± 4.63,4.63,53.4± 12.95,29.1 ± 11.10,,,
Olearia muelleri,16,3.44,4.2 ± 1.71,1.71,40.0± 18.71,0,,,
Petrophile biloba,25.2,3.88,2.8 ± 1.71,1.71,100 ± o,40.0 ± 24.49,,,
Regelia ciliata *,14.2,3.36,5.0 ± 1.73,1.73,99.2 ± 0.77,44.86 ± 15.10,,,
Regelia inops,12.8,3.8,2.4 ± 1.25,1.25,72.5 ± 12.75,13.3 ± 13.33,,,
Rhagodia preissii *,18.2,3.25,12.6 ± 2.76,2.76,96.0 ± 4.00,69.8 ± 8.66,,,
Templetonia retusa*,82.8,1.71,33.4 ± 4.74,4.74,98.5 ± 1.54,90.3 ± 6.10,,,
Xylomelum angustifolium **,75,7.91,5.0 ± 5.00,5,100 ± o,20.0±20.00,,,
